@id,@lon,@lat,name,opening_hours,website,phone,addr:street
163768556,2.2214024,48.8952026,AT Coiffure,,,,
240511192,2.2228774,48.8945504,Institut de Beauté,,,,
294141124,2.3755362,48.8784339,En Tête à Tête,Tu-Sa 09:30-19:00,,+33 1 42 02 73 59,Avenue Mathurin Moreau
294162555,2.3742838,48.8779073,Clo Tournesol,,,,
335877243,2.4141334,48.7719419,,,,,
373750634,2.3230686,48.8297009,Demesy,Tu We Fr 09:30-19:00; Th 09:30-20:00; Sa 09:00-19:00,,,Rue des Plantes
390291624,2.4444979,48.8521161,Coiffure Valérie,,,,
450803621,2.3150325,48.8113486,Tchip Coiffure,Mo 10:00-18:00; Tu-Sa 09:00-19:00,https://www.tchip.fr/salon/view/1979,,
460680849,2.2731479,48.8254638,Mo'tif Coiffure,Tu We Fr 09:30-19:00; Th 09:30-20:00; Sa 09:00-18:30,,+33 1 46 42 29 85,Place Bonaventure Leca
523275903,2.1953486,48.8901280,Jean Louis David,Tu-We 09:00-19:00; Th 09:00-20:00; Fr-Sa 09:00-19:00,,+33141370508,
532310084,2.3720513,48.8460058,Franck Provost,,,,
534911895,2.3743834,48.8462234,Sergio Bossi,,,,
534914169,2.3745286,48.8471322,Aux Couleurs,,,,Rue Parrot
535876875,2.3692880,48.8465736,,,,,
535944280,2.3705314,48.8459033,,,,,
569754897,2.2570577,48.9858118,Atout Contrast,,,,
572585722,2.2577200,48.9892879,2G Coiffure,Tu-Th 09:00-19:00; Fr 09:00-19:30; Sa 08:30-18:00,,+33 1 34 14 30 00,
582268953,2.2597713,48.9901845,Nathalie Coiffure,Tu-Fr 09:00-12:00  14:00-19:00; Sa 08:30-18:00,,+33 1 34 15 03 92,
582745995,2.3055130,48.8552788,R Color,,,,
582746782,2.3049677,48.8550883,Pierre Michel,,,,Avenue Bosquet
582748737,2.3067220,48.8547992,Camille Albane,,,,
582752849,2.2574425,48.9869711,Jean Louis David,,,,
582752853,2.2577426,48.9879638,Kôme Salon & Spa Aveda,Mo-Sa 09:00-19:00,http://www.kome.fr,+33134132626,Rue de Stalingrad
582752878,2.2579452,48.9882698,Lila Coiffure,Mo-Sa 9:30-19:00,https://www.lilacoiffure-ermont.fr/,+33 9 52 45 78 19,Rue de Stalingrad
597489176,2.2578398,48.9876960,Kallist'Hair,Mo-Fr 09:30-19:30; Sa 09:00-19:00,,+33 1 34 13 49 06,
597489225,2.2588576,48.9907106,Impact Coiffure,Tu-Fr 08:30-18:00; Sa 08:00-17:30,,,
599582374,2.2591591,48.9909624,Studio MNG,Tu-Th 09:00-12:00  14:00-19:00; Fr 09:00-13:00  14:00-19:00; Sa 09:00-18:00,,,
601708315,2.4197202,48.7349442,Duchêne Coiffure,,,,Rue du Général de Gaulle
607356633,2.2571705,48.9865759,Coiffeur Hommes,,,,Rue de Stalingrad
614864673,2.3112777,48.7701532,Hair's Pur,,,,
616254321,2.3048068,48.8349341,Mya Isaï,,,,Vouillé
616255371,2.3055381,48.8349595,R'Concept Coiffure,,,,
628365027,2.1968510,48.8961705,Coiff Express,,,,
629405032,2.2960039,48.8372867,Jean Louis David,,,,Rue de la Convention
629523644,2.2953947,48.8375698,Biocoiff'',Tu-Sa 10:00-19:00,,,
632962192,2.2791039,48.8275232,Jean-Claude Biguine,,,+33 1 46 62 99 02,
640583926,2.1957896,48.8919766,Nanterre Coiffure,Tu-Sa 08:15-12:30 13:30-19:00,,+33 1 47 21 07 04,
640583931,2.1958268,48.8920495,Atelier Modelo,Tu-Fr 09:00-19:00; We 09:00-12:00 14:00-19:00; Sa 09:00-18:00,,+33 1 47 21 14 19,
640684693,2.2026108,48.8892383,Tony Ippedico,Tu-Sa 09:00-19:00,,+33147210164,
658602380,2.1968372,48.8905187,Coiffure Tony,Tu-Fr 08:30-12:00 13:30-19:00; Sa 08:00-12:00 13:30-17:00,,,
661987194,2.1925945,48.8912455,L'Espace Coiffure,,,,
661989116,2.1950417,48.8911293,Only'r,Tu-Th 09:30-19:00; Fr 09:30-20:00; Sa 09:00-19:00,,+33147298488,
664799978,2.2810531,48.8281439,Mod's Hair,,https://www.modshair.com,+33 1 40 93 53 53,
669807982,2.3398341,48.8956297,,,,,
671747640,2.2786750,48.9907308,,,,,Avenue Jeanne d'Arc
671784222,2.2920258,48.9914696,Sergio Bossi,,,,
673003899,2.1954016,48.8913539,Franck Provost,Mo-Sa 09:30-19:00; We 09:30-20:00,http://www.franckprovost.com/,+33146950110,
673003903,2.1952421,48.8913835,La Jet-Set Coiffure,Mo-Sa 09:30-19:00; Th 10:00-20:00,,+33147244712,
678029793,2.3443603,48.8610966,Jean Claude Aubry Academy,,,,Rue Saint-Honoré
679495122,2.3400293,48.8620645,A la Tête du Client,Tu-Fr 10:00-20:00  Sa 10:00-19:00,,,Rue Saint-Honoré
683939977,2.3772068,48.8498269,,,,,
687929681,2.3414890,48.8702608,Coiffure Auffray Jérôme,,,,Rue Saint-Marc
692434973,2.1948204,48.8904497,Studio 25,Tu 09:00-19:00; We-Th 09:00-12:00 14:00-19:00; Fr-Sa 09:00-19:00,,+33147211071,
